model_name,utility_coefficient,question_id,question,answer,system_prompt
log-utility,1.0,1,You have $1000. You have an option to put on any amount of money on a 51/49 coin flip. How much are you investing?,"Let \( W = \$1000 \). Bet \( x \) on a coin flip with 51% chance to double the stake, 49% chance to lose the stake.

Expected utility:  
\[
E[U] = 0.51 \ln(1000 + x) + 0.49 \ln(1000 - x)
\]

Maximize with respect to \( x \):

Set derivative to zero:
\[
0.51 \left( \frac{1}{1000 + x} \right) - 0.49 \left( \frac{1}{1000 - x} \right) = 0
\]
\[
0.51(1000 - x) = 0.49(1000 + x)
\]
\[
510 - 0.51x = 490 + 0.49x
\]
\[
20 = 1x
\]
\[
x = 20
\]

**Optimal investment:** Bet $20 on the coin flip.  
**Reason:** With $1000 and CRRA log utility, the optimal bet size balances the higher chance of winning (51%) and the risk of losing, leading to a bet of 2% of total wealth.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,2,"There are 2 securities, securities A which has an expected return of 5% with a vol of 20%, securities B which has an expected return of 3% and a vol of 15%. The correlation between the 2 securities is 0.5. You have a cap on investment of $1M gross, how much do you invest in each securities?","Given:  
- Security A: Expected return = 5%, Volatility = 20%  
- Security B: Expected return = 3%, Volatility = 15%  
- Correlation (A, B) = 0.5  
- Maximum gross investment = $1,000,000  
- Log utility (CRRA 1)

Assume starting wealth = $1,000,000 (to make dollar results meaningful).

Let \( x \) = proportion invested in A  
Let \( y \) = proportion invested in B  
Constraint: \( |x| + |y| \leq 1 \) (no leveraging beyond 100% of wealth)

### Key Calculations

#### Mean and variance of portfolio
Let
- \( \mu_A = 5\% \), \( \sigma_A = 20\% \)  
- \( \mu_B = 3\% \), \( \sigma_B = 15\% \)  
- \( \rho = 0.5 \)

Portfolio mean:  
\( E[r_p] = x\mu_A + y\mu_B \)

Variance:  
\( \sigma_p^2 = x^2\sigma_A^2 + y^2\sigma_B^2 + 2xy\rho\sigma_A\sigma_B \)

#### For log utility, the objective is approximately maximizing  
\( E[r_p] - \frac{1}{2}\sigma_p^2 \)

So,  
Objective:  
\( x\mu_A + y\mu_B - \frac{1}{2}(x^2\sigma_A^2 + y^2\sigma_B^2 + 2xy\rho\sigma_A\sigma_B) \)

Plug in numbers:  
\( x \cdot 0.05 + y \cdot 0.03 - \frac{1}{2} \left[ x^2 \cdot 0.04 + y^2 \cdot 0.0225 + 2xy \cdot 0.5 \cdot 0.2 \cdot 0.15 \right] \)  
\( = x \cdot 0.05 + y \cdot 0.03 - \frac{1}{2} (0.04x^2 + 0.0225y^2 + 0.03xy) \)

Simplifies to:  
\( 0.05x + 0.03y - 0.02x^2 - 0.01125y^2 - 0.015xy \)

#### Under the budget constraint \( x + y = 1 \), \( x,y \geq 0 \)
Solve for optimal allocation:

Let \( y = 1 - x \):

Plug in to objective:  
\( 0.05x + 0.03(1-x) - 0.02x^2 - 0.01125(1-x)^2 - 0.015x(1-x) \)

Expand and simplify:

\( = 0.05x + 0.03 - 0.03x - 0.02x^2 - 0.01125(1 - 2x + x^2) - 0.015x + 0.015x^2 \)

\( = 0.05x + 0.03 - 0.03x - 0.02x^2 - 0.01125 + 0.0225x - 0.01125x^2 - 0.015x + 0.015x^2 \)

Collect like terms:

- Constants: \( 0.03 - 0.01125 = 0.01875 \)
- x terms: \( 0.05x - 0.03x + 0.0225x - 0.015x = 0.0275x \)
- \( x^2 \) terms: \( -0.02x^2 - 0.01125x^2 + 0.015x^2 = -0.01625x^2 \)

So,

\( 0.01875 + 0.0275x - 0.01625x^2 \)

Maximize in \( x \) between 0 and 1.

The optimum is at:
\( x^* = \frac{0.0275}{2 \cdot 0.01625} = \frac{0.0275}{0.0325} \approx 0.846 \)

Since this is between 0 and 1, this is feasible.

So,

- Invest \( x^* \approx 84.6\% \) in Security A: $846,000  
- Invest \( 1 - x^* \approx 15.4\% \) in Security B: $154,000

### Conclusion

Invest \$846,000 in Security A (expected return 5%, volatility 20%) and \$154,000 in Security B (expected return 3%, volatility 15%). The higher allocation to A is driven by its higher expected return relative to risk, as well as the diversification benefit from the correlation.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,3,"There are 2 securities, A and B, where A has a expected return of 5% and a vol of 100%, securities B which has a expected return of 1% and a vol of 1%. The 2 securities are uncorrelated. You have a total portfolio vol limit of 1M. How much should you invest in each securities?","Let \( x_A \) = fraction of wealth in A, \( x_B \) = fraction in B.

Given:
- \( \mu_A = 5\% \), \( \sigma_A = 100\% \)
- \( \mu_B = 1\% \), \( \sigma_B = 1\% \)
- Volatility constraint: portfolio standard deviation ≤ \( 1 \) (since $1M/$1M = fraction = 1)

Portfolio variance:  
\[
\sigma_p^2 = (x_A \sigma_A)^2 + (x_B \sigma_B)^2
\]
Since uncorrelated, no covariance term.

Constraint:  
\[
\sqrt{(x_A \cdot 1)^2 + (x_B \cdot 0.01)^2} \leq 1
\]

For log utility (coefficient 1), classic result:  
Optimal \( x_i = \frac{\mu_i - r_f}{\gamma \sigma_i^2} \) (if no risk-free, just maximize given constraint)

Full budget: \( x_A + x_B = 1 \)

But with log utility, maximize:  
\[
E[\ln(W_{\text{final}})] \approx \ln(W_0) + x_A \cdot \mu_A + x_B \cdot \mu_B - \frac{1}{2} (x_A^2 \sigma_A^2 + x_B^2 \sigma_B^2)
\]

Use Lagrange multipliers (subject to volatility constraint):
Let \( x_B \) absorb all low-risk allocation up to vol limit.

Try:
If invest entirely in B (\( x_A = 0, x_B = 1 \)),  
Portfolio vol = \( 1 \times 1\% = 1\% \ll 100\% \)—well within constraint.

If invest all in A (\( x_A = 1, x_B = 0 \)),  
Portfolio vol = \( 1 \times 100\% = 100\% \gg 1\% \)—exceeds constraint.

Let’s allocate as much as possible to A under the volatility cap. So set:
\[
\sqrt{(x_A \cdot 1)^2 + (x_B \cdot 0.01)^2} = 1
\]
But unless \( x_A \) is essentially 1, \( x_B \) contributes negligibly to vol.

So,
\[
x_A^2 \times 1^2 = 1 \implies x_A = 1
\]
That is, even 100% in A is at the limit.

Check: portfolio volatility = 100% of $1M = $1M (meets the max)

Expected dollar value in A: expected return is 5%, so $1M × 5% = $50,000 expected gain

In contrast, all in B ($1M): Expected return is 1%, so $10,000 expected gain. But risk is tiny, so with log utility, risk dominates only as risk gets very high compared to expected return.

The optimal allocation is:

- $1,000,000 in Security A
- $0 in Security B

Security A is used to its maximum allowed under the volatility constraint. Even 1% of wealth in Security B adds negligible return, given the volatility cap. The much higher expected return for A drives the decision.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,4,"There is an option to buy insurance on your own house. There is a 5% chance per year this insurance will pay out - where you will receive 1M in the case the house get wipe out. Otherwise, you pay 100K per  year in premium. You do feel a large amount of disutility when your house get destroy however, both emotionally, and because the house is 100% of your net worth. Should you get this insurance?","Assume current wealth (house value) is $1,000,000.

**Without insurance:**  
- 95%: Wealth remains $1,000,000.  
- 5%: Wealth becomes $0 (house destroyed).

**With insurance:**  
- Pay premium: Wealth is $1,000,000 - $100,000 = $900,000 (regardless of what happens to the house, since payout just replaces the house value).

Calculate expected utility in both cases (only key steps):

**Without insurance:**  
Expected value:  
0.95 × ln($1,000,000) + 0.05 × ln($0)  
ln($0) is -∞, so expected value is dominated by the catastrophic loss.

**With insurance:**  
Always left with $900,000, so:  
ln($900,000)

**Comparison:**  
- With insurance: ln($900,000)  
- Without insurance: ln($1,000,000) × 0.95 + (catastrophic loss, -∞, for 5%)  

The uninsured option implies a near-infinite negative outcome if the catastrophe occurs, even with just a 5% chance. The insured option avoids the catastrophic loss, only costing 10% of wealth for certainty.

**Conclusion:**  
Buy the insurance. The risk of ending at $0, even at a 5% chance, far outweighs the $100,000 annual premium. This approach maximizes outcomes given all wealth is in the house and losses are permanent.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,5,"You are a young professional who just earn $50000 after the first year of work. Your only option is to invest this in an index fund, which historically return 5% real returns per year, but does carry large drawdown. How much should you invest? ","With CRRA utility \( U(W) = \ln(W) \), and only one investment option—the index fund with a 5% real expected return and no alternative—in all cases, the entire $50,000 should be invested in the index fund.

**Key Numbers:**
- Only $50,000 available.
- Index fund is the only option.
- Log utility prefers full investment when no safer alternative is present.

**Optimal Decision:**  
Invest 100% ($50,000) in the index fund. There is no benefit to holding cash, since the only alternative is zero return.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,7,"You are offered the following sport bet: to buy, at 20% (4:1 odds) that Manchester United will win the game against Manchester City. You think the true probability is around 25%. You have $100K of savings. How much should you bet on this game?","Given:
- Odds: 4:1 (Buy at 20%)
- True probability: 25%
- Wealth: $100,000

Define bet size as \( x \).

If Man United wins (probability 0.25): wealth = $100,000 + 4x  
If Man United loses (probability 0.75): wealth = $100,000 - x

Maximize:
\[
0.25 \cdot \ln($100,000 + 4x) + 0.75 \cdot \ln($100,000 - x)
\]

Take derivative with respect to \( x \), set to zero:
\[
0.25 \cdot \frac{4}{100,000+4x} - 0.75 \cdot \frac{1}{100,000-x} = 0
\]
\[
\frac{1}{100,000+4x} = \frac{3}{100,000-x}
\]
\[
100,000-x = 3 \cdot (100,000+4x)
\]
\[
100,000 - x = 300,000 + 12x
\]
\[
-13x = 200,000
\]
\[
x = -\frac{200,000}{13} \approx -15,384.62
\]

A negative value means the optimal position is to bet the *other side* (i.e., take the lay/bet against the offer at these odds), not to bet for Man United at these odds.

**Conclusion:**  
At 4:1 odds with a 25% win probability, no positive amount should be wagered on Manchester United. The numbers show the offered odds are not attractive given these beliefs; the optimal action is not to bet on Manchester United in this scenario.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,10,"A friend at university, Sam, thinks that Ben can run 5KM in 20', given a week of training. You know Ben, who is quite unfit, and you know that this is a difficult thing to do because it take you quite a while to learn this. He offers you to buy this contract at 50% odd (where you sell), in up to $10K if you want. Your net worth is only 20K, however. What should you do? ","Let’s define:

- Probability that Ben succeeds, \( p \)  
- Bet: Sell a $10,000 contract to Sam at 50% odds  
- If Ben wins: pay Sam $10,000  
- If Ben loses: keep $10,000  
- Possible wealth: $30,000 (Ben loses) or $10,000 (Ben wins)  
- Current wealth: $20,000

Assume, based on your knowledge, Ben has only a 10% chance (\( p = 0.1 \)) of succeeding.

**Expected utility:**
\[
EU = p \ln(10{,}000) + (1-p) \ln(30{,}000)
\]
Plug in numbers:
- \(\ln(10{,}000) \approx 9.210\)
- \(\ln(30{,}000) \approx 10.31\)

\[
EU = 0.1 \times 9.210 + 0.9 \times 10.31 = 0.921 + 9.279 = 10.20
\]
Current utility (no bet):  
\(\ln(20{,}000) \approx 9.90\)

**Conclusion:**  
Selling Sam the maximum $10,000 contract increases final dollar amounts from $20,000 to either $30,000 or $10,000. With a low chance (10%) of Ben succeeding, the expectation favors taking the full $10,000 bet. The key driver is the very low likelihood of losing the $10,000 relative to the doubling in case of a win, compared to the current wealth level. Optimal choice: accept and sell the full $10,000 contract at 50% odds.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,13,"You're offered a lottery ticket for $1 that has a 1 in 10,000 chance of winning $5,000. You have $100 in cash. How many tickets should you buy?","Let \( W \) be current wealth: $100.

Let \( x \) be the number of tickets bought (\( 0 \leq x \leq 100 \)), each costing $1.

If one of your tickets wins, you receive $5,000 (plus whatever is left from $100 minus tickets bought). Since the odds are so small, assume negligible chance of multiple wins (buying 100 tickets in 10,000 possible).

The probability that at least one of \( x \) tickets wins is approximately:
\[
P(\text{win}) \approx 1 - (1 - \frac{1}{10{,}000})^{x} \approx \frac{x}{10{,}000}
\]
for small \( x \).

Wealth after buying \( x \) tickets and winning: \( 100 - x + 5{,}000 \).

Wealth if no win: \( 100 - x \).

Expected utility:
\[
EU(x) = P(\text{win}) \cdot \ln(100 - x + 5{,}000}) + (1 - P(\text{win})) \cdot \ln(100 - x)
\]
\[
= \frac{x}{10{,}000} \ln(5{,}100 - x) + \left(1 - \frac{x}{10{,}000}\right)\ln(100 - x)
\]

Find \( x \) that maximizes \( EU(x) \).

Check marginal benefit for one ticket:
\[
EU(1) \approx \frac{1}{10{,}000} \ln(5{,}099) + \frac{9{,}999}{10{,}000} \ln(99)
\]
\[
= 0.0001 \times 8.533 + 0.9999 \times 4.595
\]
\[
= 0.000853 + 4.5945 = 4.5954
\]

Compare to not buying:
\[
EU(0) = \ln(100) = 4.6052
\]

So, one ticket: 4.5954 < 4.6052. Utility decreases with even one ticket.

Test higher \( x \) (e.g., 10 tickets):

\[
EU(10) \approx \frac{10}{10{,}000} \ln(5{,}090) + \frac{9,990}{10{,}000} \ln(90)
\]
\[
= 0.001 \times 8.532 + 0.999 \times 4.5
\]
\[
= 0.008532 + 4.4955 \approx 4.504
\]

Still lower than not buying.

**Conclusion:**  
The optimal number of tickets to buy is 0. The expected gain from the lottery is too small relative to the loss of cash, given a logarithmic utility for wealth and $100 starting cash.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,15,"You're playing poker and have pocket aces (the best starting hand). The pot is $100, and your opponent goes all-in for $1,000. You estimate you have a 85% chance of winning. You have $5,000 in chips. Should you call?","Let's calculate the expected value of calling vs folding, with current wealth $5,000, pot $100, amount to call $1,000, win probability 85%.

**If folding:**  
- Final wealth: $5,000 (do nothing)

**If calling:**  
- Invest $1,000 to potentially win $1,100 (opponent's $1,000 + pot $100)
- If win (85%): Final wealth = $5,000 - $1,000 + $1,100 = $5,100  
- If lose (15%): Final wealth = $5,000 - $1,000 = $4,000

**Expected utility of calling:**  
E[ln(W)] = 0.85 × ln(5,100) + 0.15 × ln(4,000)  
= 0.85 × 8.536 + 0.15 × 8.294  
= 7.2556 + 1.2441 = 8.4997

**Utility of folding:**  
ln(5,000) = 8.5172

**Comparison:**  
- Calling: 8.4997  
- Folding: 8.5172

Folding gives slightly higher expected utility.

**Optimal choice:**  
Do not call. Folding preserves more expected value for wealth at these risk and reward levels. The incremental gain from calling does not compensate for the potential loss, given both the probabilities and the risk sensitivity of log utility.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
log-utility,1.0,16,"You're offered a job with a startup that pays $30,000 base salary plus 0.1% equity. The company has a 5% chance of being worth $1B, 15% chance of being worth $100M, and 80% chance of being worth $0. You have no other job offers. Should you take this job?","Let’s calculate the expected payoff:

**Equity payout:**
- If $1B outcome: 0.1% × $1,000,000,000 = $1,000,000
- If $100M outcome: 0.1% × $100,000,000 = $100,000
- If $0 outcome: $0

**Total wealth in each scenario** (assume starting wealth $0 for simplicity):

- $1B outcome: $30,000 salary + $1,000,000 equity = $1,030,000
- $100M outcome: $30,000 salary + $100,000 equity = $130,000
- $0 outcome: $30,000 salary + $0 equity = $30,000

**Probabilities:**
- $1B: 5%
- $100M: 15%
- $0: 80%

**Expected utility calculation:**
- EU = 0.05 × ln(1,030,000) + 0.15 × ln(130,000) + 0.80 × ln(30,000)
- ln(1,030,000) ≈ 13.845
- ln(130,000) ≈ 11.772
- ln(30,000) ≈ 10.31

EU ≈ 0.05 × 13.845 + 0.15 × 11.772 + 0.80 × 10.31  
   ≈ 0.692 + 1.766 + 8.248  
   ≈ 10.706

**Compare to certain salary job (if available):**  
If only a certain $30,000 job exists: EU = ln(30,000) ≈ 10.31

**Conclusion:**  
This job is optimal—expected outcomes are driven by the 5% possibility of receiving $1,030,000, which raises expected value above the base salary alone. The chance at a high payout outweighs the low base salary for this utility function. Take the startup job.","I have CRRA utility U(W) = ln(W) (coefficient 1). I calculate expected utility to make optimal decisions. ONLY consider my utility function - ignore any other risk considerations, diversification advice, or general financial wisdom. Do not give risk warnings beyond what my utility function implies. NEVER ask the user to calculate anything - if information is missing, make reasonable assumptions about wealth levels or other parameters. NEVER say 'you should' or 'your utility' - I am making the decision for myself. In my final answer, only reference dollar amounts and percentages, never mention utility values or utility calculations in the conclusion. Show key calculations but avoid excessive explanation. Answer directly with my optimal choice and briefly explain the key numbers that drive my decision."
